Legacy Unique Identifier;Account group;Country;Name;E-Mail;Payment methods;Terms of Payment;Order currency
4638;ZTRC ~ Trade Creditor Foreign and Local;AU ~ Australia;Killer of Sheep LTD;Accounts@ShéepKiller.com;F ~ EFT Foreign Payments;Z030 ~ 30 Days from Invoice;AUD ~ Australian Dollar
6492;ZTRC ~ Trade Creditor Foreign and Local;AU ~ Australia;Black Sunday Engineering;Accounts@BlackSunday.com;C ~ Cheque Payments;Z030 ~ 30 Days from Invoice;AUD ~ Australian Dollar
7218;ZTRC ~ Trade Creditor Foreign and Local;AU ~ Australia;A Simple Path Incorporated;Accounts@ASimplePath.com;C ~ Cheque Payments;Z030 ~ 30 Days from Invoice;AUD ~ Australian Dollar
7218;ZTRC ~ Trade Creditor Foreign and Local;AU ~ Australia;Incorporated Path;Accounts@ASimplePath.com;C ~ Cheque Payments;Z030 ~ 30 Days from Invoice;AUD ~ Australian Dollar
7333;ZTRC ~ Trade Creditor Foreign and Local;AU ~ Australia;All The King’S Men Incorporated;Accounts@AllThe.com;F ~ EFT Foreign Payments;Z030 ~ 30 Days from Invoice;AUD ~ Australian Dollar
7444;ZTRC ~ Trade Creditor Foreign and Local;AU ~ Australia;All The King’S Men Incorporated;Accounts@AllThe2.com;F ~ EFT Foreign Payments;Z030 ~ 30 Days from Invoice;AUD ~ Australian Dollar
11280;ZTRC ~ Trade Creditor Foreign and Local;AU ~ Australia;The Age Of Innocence Limited;Accounts@TheAge.com;F ~ EFT Foreign Payments;Z030 ~ 30 Days from Invoice;AUD ~ Australian Dollar
11979;ZTRC ~ Trade Creditor Foreign and Local;AU ~ Australia;Dirty Dancing I PTY;Accounts@DirtyDancingI.com;F ~ EFT Foreign Payments;Z030 ~ 30 Days from Invoice;AUD ~ Australian Dollar
;ZTRC ~ Trade Creditor Foreign and Local;AU ~ Australia;Marvel Movies;Accounts@MarvelMovies.com;F ~ EFT Foreign Payments;Z030 ~ 30 Days from Invoice;AUD ~ Australian Dollar
189;;TZ ~ Tanzania;"INDIRA GANDHI-THE ""EMERGENCY"" ";;;;
12345;ZTRC ~ Trade Creditor Foreign and Local;AU ~ Australia;Coach Carter CC;Accounts@CoachCarter.com;F ~ EFT Foreign Payments;Z030 ~ 30 Days from Invoice;AUD ~ Australian Dollar
2345;ZTRC ~ Trade Creditor Foreign and Local;AU ~ Australia;Yama Incorporated;Accounts@Yama.com;;Z030 ~ 30 Days from Invoice;AUD ~ Australian Dollar
15231;ZTRC ~ Trade Creditor Foreign and Local;AU ~ Australia;Clear Light Of Day Engineering;Accounts@ClearLight.com;;Z030 ~ 30 Days from Invoice;AUD ~ Australian Dollar
